"x" "y" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6" "layer.7" "reino" "ids"
"126" -163 -7 21982.84891 356.8907929 -2.856396191 0.713529013 0.486668512 -0.627801262 15 "17" 4732
"127" -161 -7 21982.84891 356.8907929 -2.856396191 0.713529013 0.486668512 -0.627801262 15 "17" 4733
"128" -159 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4734
"129" -157 -7 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4735
"130" -155 -7 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4736
"131" -153 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4737
"132" -151 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4738
"133" -149 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4739
"134" -147 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4740
"135" -145 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4741
"136" -143 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4742
"137" -141 -7 22402.24104 343.6286255 -3.474233982 0.785733436 0.482475264 -0.792488647 18 "17" 4743
"138" -139 -7 22402.24104 343.6286255 -3.474233982 0.785733436 0.482475264 -0.792488647 18 "17" 4744
"139" -137 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4745
"140" -135 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4746
"141" -133 -7 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4747
"142" -179 -9 19912.85242 322.1001041 -4.155257557 0.783208784 0.571798825 0.915978428 21 "17" 4869
"143" -177 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4870
"144" -175 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4871
"145" -173 -9 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4872
"146" -171 -9 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4873
"147" -169 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4874
"148" -167 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4875
"149" -165 -9 19677.51516 331.5732489 -3.035360546 0.733380526 0.512472752 -0.327623485 14 "17" 4876
"150" -163 -9 21982.84891 356.8907929 -2.856396191 0.713529013 0.486668512 -0.627801262 15 "17" 4877
"151" -161 -9 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4878
"152" -159 -9 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4879
"153" -157 -9 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4880
"154" -155 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4881
"155" -153 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4882
"156" -151 -9 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4883
"157" -149 -9 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4884
"158" -147 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4885
"159" -145 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4886
"160" -143 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4887
"161" -141 -9 22402.24104 343.6286255 -3.474233982 0.785733436 0.482475264 -0.792488647 18 "17" 4888
"162" -139 -9 22402.24104 343.6286255 -3.474233982 0.785733436 0.482475264 -0.792488647 18 "17" 4889
"163" -137 -9 19973.86187 320.9443558 -3.644124315 0.820955365 0.503155478 -0.547813372 17 "17" 4890
"164" -135 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4891
"165" -133 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4892
"166" -131 -9 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4893
"167" -179 -11 20978.57476 326.2268314 -4.147776621 0.733096221 0.582993419 1.65015038 22 "17" 5016
"168" -177 -11 19677.51516 331.5732489 -3.035360546 0.733380526 0.512472752 -0.327623485 14 "17" 5017
"169" -175 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5018
"170" -173 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5019
"171" -171 -11 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5020
"172" -169 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5021
"173" -167 -11 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 5022
"174" -165 -11 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 5023
"175" -163 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5024
"176" -161 -11 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 5025
"177" -159 -11 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 5026
